move_id,moves,power,pp,accuracy,priority,effect_chance
1,pound,40,35,100,0,
2,karate-chop,50,25,100,0,
3,double-slap,15,10,85,0,
4,comet-punch,18,15,85,0,
5,mega-punch,80,20,85,0,
6,pay-day,40,20,100,0,
7,fire-punch,75,15,100,0,10
8,ice-punch,75,15,100,0,10
9,thunder-punch,75,15,100,0,10
10,scratch,40,35,100,0,
11,vice-grip,55,30,100,0,
12,guillotine,,5,30,0,
13,razor-wind,80,10,100,0,
14,swords-dance,,20,,0,
15,cut,50,30,95,0,
16,gust,40,35,100,0,
17,wing-attack,60,35,100,0,
18,whirlwind,,20,,-6,
19,fly,90,15,95,0,
20,bind,15,20,85,0,100
21,slam,80,20,75,0,
22,vine-whip,45,25,100,0,
23,stomp,65,20,100,0,30
24,double-kick,30,30,100,0,
25,mega-kick,120,5,75,0,
26,jump-kick,100,10,95,0,
27,rolling-kick,60,15,85,0,30
28,sand-attack,,15,100,0,
29,headbutt,70,15,100,0,30
30,horn-attack,65,25,100,0,
31,fury-attack,15,20,85,0,
32,horn-drill,,5,30,0,
33,tackle,50,35,100,0,
34,body-slam,85,15,100,0,30
35,wrap,15,20,90,0,100
36,take-down,90,20,85,0,
37,thrash,120,10,100,0,
38,double-edge,120,15,100,0,
39,tail-whip,,30,100,0,
40,poison-sting,15,35,100,0,30
41,twineedle,25,20,100,0,20
42,pin-missile,25,20,95,0,
43,leer,,30,100,0,100
44,bite,60,25,100,0,30
45,growl,,40,100,0,
46,roar,,20,,-6,
47,sing,,15,55,0,
48,supersonic,,20,55,0,
49,sonic-boom,,20,90,0,
50,disable,,20,100,0,
51,acid,40,30,100,0,10
52,ember,40,25,100,0,10
53,flamethrower,90,15,100,0,10
54,mist,,30,,0,
55,water-gun,40,25,100,0,
56,hydro-pump,110,5,80,0,
57,surf,90,15,100,0,
58,ice-beam,90,10,100,0,10
59,blizzard,110,5,70,0,10
60,psybeam,65,20,100,0,10
61,bubble-beam,65,20,100,0,10
62,aurora-beam,65,20,100,0,10
63,hyper-beam,150,5,90,0,
64,peck,35,35,100,0,
65,drill-peck,80,20,100,0,
66,submission,80,20,80,0,
67,low-kick,,20,100,0,
68,counter,,20,100,-5,
69,seismic-toss,,20,100,0,
70,strength,80,15,100,0,
71,absorb,20,25,100,0,
72,mega-drain,40,15,100,0,
73,leech-seed,,10,90,0,
74,growth,,20,,0,
75,razor-leaf,55,25,95,0,
76,solar-beam,120,10,100,0,
77,poison-powder,,35,75,0,
78,stun-spore,,30,75,0,
79,sleep-powder,,15,75,0,
80,petal-dance,120,10,100,0,
81,string-shot,,40,95,0,
82,dragon-rage,,10,100,0,
83,fire-spin,35,15,85,0,100
84,thunder-shock,40,30,100,0,10
85,thunderbolt,90,15,100,0,10
86,thunder-wave,,20,100,0,
87,thunder,110,10,70,0,30
88,rock-throw,50,15,90,0,
89,earthquake,100,10,100,0,
90,fissure,,5,30,0,
91,dig,80,10,100,0,
92,toxic,,10,90,0,
93,confusion,50,25,100,0,10
94,psychic,90,10,100,0,10
95,hypnosis,,20,60,0,
96,meditate,,40,,0,
97,agility,,30,,0,
98,quick-attack,40,30,100,1,
99,rage,20,20,100,0,
100,teleport,,20,,0,
101,night-shade,,15,100,0,
102,mimic,,10,,0,
103,screech,,40,85,0,
104,double-team,,15,,0,
105,recover,,10,,0,
106,harden,,30,,0,
107,minimize,,10,,0,
108,smokescreen,,20,100,0,
109,confuse-ray,,10,100,0,
110,withdraw,,40,,0,
111,defense-curl,,40,,0,
112,barrier,,20,,0,
113,light-screen,,30,,0,
114,haze,,30,,0,
115,reflect,,20,,0,
116,focus-energy,,30,,0,
117,bide,,10,,1,
118,metronome,,10,,0,
119,mirror-move,,20,,0,
120,self-destruct,200,5,100,0,
121,egg-bomb,100,10,75,0,
122,lick,30,30,100,0,30
123,smog,30,20,70,0,40
124,sludge,65,20,100,0,30
125,bone-club,65,20,85,0,10
126,fire-blast,110,5,85,0,10
127,waterfall,80,15,100,0,20
128,clamp,35,15,85,0,100
129,swift,60,20,,0,
130,skull-bash,130,10,100,0,100
131,spike-cannon,20,15,100,0,
132,constrict,10,35,100,0,10
133,amnesia,,20,,0,
134,kinesis,,15,80,0,
135,soft-boiled,,10,,0,
136,high-jump-kick,130,10,90,0,
137,glare,,30,100,0,
138,dream-eater,100,15,100,0,
139,poison-gas,,40,90,0,
140,barrage,15,20,85,0,
141,leech-life,20,15,100,0,
142,lovely-kiss,,10,75,0,
143,sky-attack,140,5,90,0,30
144,transform,,10,,0,
145,bubble,40,30,100,0,10
146,dizzy-punch,70,10,100,0,20
147,spore,,15,100,0,
148,flash,,20,100,0,
149,psywave,,15,100,0,
150,splash,,40,,0,
151,acid-armor,,20,,0,
152,crabhammer,100,10,90,0,
153,explosion,250,5,100,0,
154,fury-swipes,18,15,80,0,
155,bonemerang,50,10,90,0,
156,rest,,10,,0,
157,rock-slide,75,10,90,0,30
158,hyper-fang,80,15,90,0,10
159,sharpen,,30,,0,
160,conversion,,30,,0,
161,tri-attack,80,10,100,0,20
162,super-fang,,10,90,0,
163,slash,70,20,100,0,
164,substitute,,10,,0,
165,struggle,50,,,0,
166,sketch,,1,,0,
167,triple-kick,10,10,90,0,
168,thief,60,25,100,0,
169,spider-web,,10,,0,
170,mind-reader,,5,,0,
171,nightmare,,15,100,0,
172,flame-wheel,60,25,100,0,10
173,snore,50,15,100,0,30
174,curse,,10,,0,
175,flail,,15,100,0,
176,conversion-2,,30,,0,
177,aeroblast,100,5,95,0,
178,cotton-spore,,40,100,0,
179,reversal,,15,100,0,
180,spite,,10,100,0,
181,powder-snow,40,25,100,0,10
182,protect,,10,,4,
183,mach-punch,40,30,100,1,
184,scary-face,,10,100,0,
185,feint-attack,60,20,,0,
186,sweet-kiss,,10,75,0,
187,belly-drum,,10,,0,
188,sludge-bomb,90,10,100,0,30
189,mud-slap,20,10,100,0,100
190,octazooka,65,10,85,0,50
191,spikes,,20,,0,
192,zap-cannon,120,5,50,0,100
193,foresight,,40,,0,
194,destiny-bond,,5,,0,
195,perish-song,,5,,0,
196,icy-wind,55,15,95,0,100
197,detect,,5,,4,
198,bone-rush,25,10,90,0,
199,lock-on,,5,,0,
200,outrage,120,10,100,0,
201,sandstorm,,10,,0,
202,giga-drain,75,10,100,0,
203,endure,,10,,4,
204,charm,,20,100,0,
205,rollout,30,20,90,0,
206,false-swipe,40,40,100,0,
207,swagger,,15,90,0,
208,milk-drink,,10,,0,
209,spark,65,20,100,0,30
210,fury-cutter,40,20,95,0,
211,steel-wing,70,25,90,0,10
212,mean-look,,5,,0,
213,attract,,15,100,0,
214,sleep-talk,,10,,0,
215,heal-bell,,5,,0,
216,return,,20,100,0,
217,present,,15,90,0,
218,frustration,,20,100,0,
219,safeguard,,25,,0,
220,pain-split,,20,,0,
221,sacred-fire,100,5,95,0,50
222,magnitude,,30,100,0,
223,dynamic-punch,100,5,50,0,100
224,megahorn,120,10,85,0,
225,dragon-breath,60,20,100,0,30
226,baton-pass,,40,,0,
227,encore,,5,100,0,
228,pursuit,40,20,100,0,
229,rapid-spin,20,40,100,0,
230,sweet-scent,,20,100,0,
231,iron-tail,100,15,75,0,30
232,metal-claw,50,35,95,0,10
233,vital-throw,70,10,,-1,
234,morning-sun,,5,,0,
235,synthesis,,5,,0,
236,moonlight,,5,,0,
237,hidden-power,60,15,100,0,
238,cross-chop,100,5,80,0,
239,twister,40,20,100,0,20
240,rain-dance,,5,,0,
241,sunny-day,,5,,0,
242,crunch,80,15,100,0,20
243,mirror-coat,,20,100,-5,
244,psych-up,,10,,0,
245,extreme-speed,80,5,100,2,
246,ancient-power,60,5,100,0,10
247,shadow-ball,80,15,100,0,20
248,future-sight,120,10,100,0,
249,rock-smash,40,15,100,0,50
250,whirlpool,35,15,85,0,100
251,beat-up,,10,100,0,
252,fake-out,40,10,100,3,100
253,uproar,90,10,100,0,
254,stockpile,,20,,0,
255,spit-up,,10,100,0,
256,swallow,,10,,0,
257,heat-wave,95,10,90,0,10
258,hail,,10,,0,
259,torment,,15,100,0,
260,flatter,,15,100,0,
261,will-o-wisp,,15,85,0,
262,memento,,10,100,0,
263,facade,70,20,100,0,
264,focus-punch,150,20,100,-3,
265,smelling-salts,70,10,100,0,
266,follow-me,,20,,2,
267,nature-power,,20,,0,
268,charge,,20,,0,
269,taunt,,20,100,0,
270,helping-hand,,20,,5,
271,trick,,10,100,0,
272,role-play,,10,,0,
273,wish,,10,,0,
274,assist,,20,,0,
275,ingrain,,20,,0,
276,superpower,120,5,100,0,100
277,magic-coat,,15,,4,
278,recycle,,10,,0,
279,revenge,60,10,100,-4,
280,brick-break,75,15,100,0,
281,yawn,,10,,0,
282,knock-off,65,20,100,0,
283,endeavor,,5,100,0,
284,eruption,150,5,100,0,
285,skill-swap,,10,,0,
286,imprison,,10,,0,
287,refresh,,20,,0,
288,grudge,,5,,0,
289,snatch,,10,,4,
290,secret-power,70,20,100,0,30
291,dive,80,10,100,0,
292,arm-thrust,15,20,100,0,
293,camouflage,,20,,0,
294,tail-glow,,20,,0,
295,luster-purge,70,5,100,0,50
296,mist-ball,70,5,100,0,50
297,feather-dance,,15,100,0,
298,teeter-dance,,20,100,0,
299,blaze-kick,85,10,90,0,10
300,mud-sport,,15,,0,
301,ice-ball,30,20,90,0,
302,needle-arm,60,15,100,0,30
303,slack-off,,10,,0,
304,hyper-voice,90,10,100,0,
305,poison-fang,50,15,100,0,50
306,crush-claw,75,10,95,0,50
307,blast-burn,150,5,90,0,
308,hydro-cannon,150,5,90,0,
309,meteor-mash,90,10,90,0,20
310,astonish,30,15,100,0,30
311,weather-ball,50,10,100,0,
312,aromatherapy,,5,,0,
313,fake-tears,,20,100,0,
314,air-cutter,60,25,95,0,
315,overheat,130,5,90,0,100
316,odor-sleuth,,40,,0,
317,rock-tomb,60,15,95,0,100
318,silver-wind,60,5,100,0,10
319,metal-sound,,40,85,0,
320,grass-whistle,,15,55,0,
321,tickle,,20,100,0,
322,cosmic-power,,20,,0,
323,water-spout,150,5,100,0,
324,signal-beam,75,15,100,0,10
325,shadow-punch,60,20,,0,
326,extrasensory,80,20,100,0,10
327,sky-uppercut,85,15,90,0,
328,sand-tomb,35,15,85,0,100
329,sheer-cold,,5,30,0,
330,muddy-water,90,10,85,0,30
331,bullet-seed,25,30,100,0,
332,aerial-ace,60,20,,0,
333,icicle-spear,25,30,100,0,
334,iron-defense,,15,,0,
335,block,,5,,0,
336,howl,,40,,0,
337,dragon-claw,80,15,100,0,
338,frenzy-plant,150,5,90,0,
339,bulk-up,,20,,0,
340,bounce,85,5,85,0,30
341,mud-shot,55,15,95,0,100
342,poison-tail,50,25,100,0,10
343,covet,60,25,100,0,
344,volt-tackle,120,15,100,0,10
345,magical-leaf,60,20,,0,
346,water-sport,,15,,0,
347,calm-mind,,20,,0,
348,leaf-blade,90,15,100,0,
349,dragon-dance,,20,,0,
350,rock-blast,25,10,90,0,
351,shock-wave,60,20,,0,
352,water-pulse,60,20,100,0,20
353,doom-desire,140,5,100,0,
354,psycho-boost,140,5,90,0,100
355,roost,,10,,0,
356,gravity,,5,,0,
357,miracle-eye,,40,,0,
358,wake-up-slap,70,10,100,0,
359,hammer-arm,100,10,90,0,100
360,gyro-ball,,5,100,0,
361,healing-wish,,10,,0,
362,brine,65,10,100,0,
363,natural-gift,,15,100,0,
364,feint,30,10,100,2,
365,pluck,60,20,100,0,
366,tailwind,,15,,0,
367,acupressure,,30,,0,
368,metal-burst,,10,100,0,
369,u-turn,70,20,100,0,
370,close-combat,120,5,100,0,100
371,payback,50,10,100,0,
372,assurance,60,10,100,0,
373,embargo,,15,100,0,
374,fling,,10,100,0,
375,psycho-shift,,10,100,0,
376,trump-card,,5,,0,
377,heal-block,,15,100,0,
378,wring-out,,5,100,0,
379,power-trick,,10,,0,
380,gastro-acid,,10,100,0,
381,lucky-chant,,30,,0,
382,me-first,,20,,0,
383,copycat,,20,,0,
384,power-swap,,10,,0,
385,guard-swap,,10,,0,
386,punishment,,5,100,0,
387,last-resort,140,5,100,0,
388,worry-seed,,10,100,0,
389,sucker-punch,80,5,100,1,
390,toxic-spikes,,20,,0,
391,heart-swap,,10,,0,
392,aqua-ring,,20,,0,
393,magnet-rise,,10,,0,
394,flare-blitz,120,15,100,0,10
395,force-palm,60,10,100,0,30
396,aura-sphere,80,20,,0,
397,rock-polish,,20,,0,
398,poison-jab,80,20,100,0,30
399,dark-pulse,80,15,100,0,20
400,night-slash,70,15,100,0,
401,aqua-tail,90,10,90,0,
402,seed-bomb,80,15,100,0,
403,air-slash,75,15,95,0,30
404,x-scissor,80,15,100,0,
405,bug-buzz,90,10,100,0,10
406,dragon-pulse,85,10,100,0,
407,dragon-rush,100,10,75,0,20
408,power-gem,80,20,100,0,
409,drain-punch,75,10,100,0,
410,vacuum-wave,40,30,100,1,
411,focus-blast,120,5,70,0,10
412,energy-ball,90,10,100,0,10
413,brave-bird,120,15,100,0,
414,earth-power,90,10,100,0,10
415,switcheroo,,10,100,0,
416,giga-impact,150,5,90,0,
417,nasty-plot,,20,,0,
418,bullet-punch,40,30,100,1,
419,avalanche,60,10,100,-4,
420,ice-shard,40,30,100,1,
421,shadow-claw,70,15,100,0,
422,thunder-fang,65,15,95,0,10
423,ice-fang,65,15,95,0,10
424,fire-fang,65,15,95,0,10
425,shadow-sneak,40,30,100,1,
426,mud-bomb,65,10,85,0,30
427,psycho-cut,70,20,100,0,
428,zen-headbutt,80,15,90,0,20
429,mirror-shot,65,10,85,0,30
430,flash-cannon,80,10,100,0,10
431,rock-climb,90,20,85,0,20
432,defog,,15,,0,
433,trick-room,,5,,-7,
434,draco-meteor,130,5,90,0,100
435,discharge,80,15,100,0,30
436,lava-plume,80,15,100,0,30
437,leaf-storm,130,5,90,0,100
438,power-whip,120,10,85,0,
439,rock-wrecker,150,5,90,0,
440,cross-poison,70,20,100,0,10
441,gunk-shot,120,5,80,0,30
442,iron-head,80,15,100,0,30
443,magnet-bomb,60,20,,0,
444,stone-edge,100,5,80,0,
445,captivate,,20,100,0,
446,stealth-rock,,20,,0,
447,grass-knot,,20,100,0,
448,chatter,65,20,100,0,100
449,judgment,100,10,100,0,
450,bug-bite,60,20,100,0,
451,charge-beam,50,10,90,0,70
452,wood-hammer,120,15,100,0,
453,aqua-jet,40,20,100,1,
454,attack-order,90,15,100,0,
455,defend-order,,10,,0,
456,heal-order,,10,,0,
457,head-smash,150,5,80,0,
458,double-hit,35,10,90,0,
459,roar-of-time,150,5,90,0,
460,spacial-rend,100,5,95,0,
461,lunar-dance,,10,,0,
462,crush-grip,,5,100,0,
463,magma-storm,100,5,75,0,100
464,dark-void,,10,80,0,
465,seed-flare,120,5,85,0,40
466,ominous-wind,60,5,100,0,10
467,shadow-force,120,5,100,0,
468,hone-claws,,15,,0,
469,wide-guard,,10,,3,
470,guard-split,,10,,0,
471,power-split,,10,,0,
472,wonder-room,,10,,0,
473,psyshock,80,10,100,0,
474,venoshock,65,10,100,0,
475,autotomize,,15,,0,
476,rage-powder,,20,,2,
477,telekinesis,,15,,0,
478,magic-room,,10,,0,
479,smack-down,50,15,100,0,100
480,storm-throw,60,10,100,0,
481,flame-burst,70,15,100,0,
482,sludge-wave,95,10,100,0,10
483,quiver-dance,,20,,0,
484,heavy-slam,,10,100,0,
485,synchronoise,120,10,100,0,
486,electro-ball,,10,100,0,
487,soak,,20,100,0,
488,flame-charge,50,20,100,0,100
489,coil,,20,,0,
490,low-sweep,65,20,100,0,100
491,acid-spray,40,20,100,0,100
492,foul-play,95,15,100,0,
493,simple-beam,,15,100,0,
494,entrainment,,15,100,0,
495,after-you,,15,,0,
496,round,60,15,100,0,
497,echoed-voice,40,15,100,0,
498,chip-away,70,20,100,0,
499,clear-smog,50,15,,0,
500,stored-power,20,10,100,0,
501,quick-guard,,15,,3,
502,ally-switch,,15,,1,
503,scald,80,15,100,0,30
504,shell-smash,,15,,0,
505,heal-pulse,,10,,0,
506,hex,65,10,100,0,
507,sky-drop,60,10,100,0,
508,shift-gear,,10,,0,
509,circle-throw,60,10,90,-6,
510,incinerate,60,15,100,0,
511,quash,,15,100,0,
512,acrobatics,55,15,100,0,
513,reflect-type,,15,,0,
514,retaliate,70,5,100,0,
515,final-gambit,,5,100,0,
516,bestow,,15,,0,
517,inferno,100,5,50,0,100
518,water-pledge,80,10,100,0,
519,fire-pledge,80,10,100,0,
520,grass-pledge,80,10,100,0,
521,volt-switch,70,20,100,0,
522,struggle-bug,50,20,100,0,100
523,bulldoze,60,20,100,0,100
524,frost-breath,60,10,90,0,100
525,dragon-tail,60,10,90,-6,
526,work-up,,30,,0,
527,electroweb,55,15,95,0,100
528,wild-charge,90,15,100,0,
529,drill-run,80,10,95,0,
530,dual-chop,40,15,90,0,
531,heart-stamp,60,25,100,0,30
532,horn-leech,75,10,100,0,
533,sacred-sword,90,15,100,0,
534,razor-shell,75,10,95,0,50
535,heat-crash,,10,100,0,
536,leaf-tornado,65,10,90,0,50
537,steamroller,65,20,100,0,30
538,cotton-guard,,10,,0,
539,night-daze,85,10,95,0,40
540,psystrike,100,10,100,0,
541,tail-slap,25,10,85,0,
542,hurricane,110,10,70,0,30
543,head-charge,120,15,100,0,
544,gear-grind,50,15,85,0,
545,searing-shot,100,5,100,0,30
546,techno-blast,120,5,100,0,
547,relic-song,75,10,100,0,10
548,secret-sword,85,10,100,0,
549,glaciate,65,10,95,0,100
550,bolt-strike,130,5,85,0,20
551,blue-flare,130,5,85,0,20
552,fiery-dance,80,10,100,0,50
553,freeze-shock,140,5,90,0,30
554,ice-burn,140,5,90,0,30
555,snarl,55,15,95,0,100
556,icicle-crash,85,10,90,0,30
557,v-create,180,5,95,0,100
558,fusion-flare,100,5,100,0,
559,fusion-bolt,100,5,100,0,
560,flying-press,80,10,95,0,
561,mat-block,,10,,0,
562,belch,120,10,90,0,
563,rototiller,,10,,0,100
564,sticky-web,,20,,0,
565,fell-stinger,30,25,100,0,
566,phantom-force,90,10,100,0,
567,trick-or-treat,,20,100,0,
568,noble-roar,,30,100,0,100
569,ion-deluge,,25,,1,
570,parabolic-charge,50,20,100,0,
571,forests-curse,,20,100,0,
572,petal-blizzard,90,15,100,0,
573,freeze-dry,70,20,100,0,10
574,disarming-voice,40,15,,0,
575,parting-shot,,20,100,0,100
576,topsy-turvy,,20,,0,
577,draining-kiss,50,10,100,0,
578,crafty-shield,,10,,3,
579,flower-shield,,10,,0,100
580,grassy-terrain,,10,,0,
581,misty-terrain,,10,,0,
582,electrify,,20,,0,
583,play-rough,90,10,90,0,10
584,fairy-wind,40,30,100,0,
585,moonblast,95,15,100,0,30
586,boomburst,140,10,100,0,
587,fairy-lock,,10,,0,
588,kings-shield,,10,,4,
589,play-nice,,20,,0,100
590,confide,,20,,0,100
591,diamond-storm,100,5,95,0,50
592,steam-eruption,110,5,95,0,30
593,hyperspace-hole,80,5,,0,
594,water-shuriken,15,20,100,1,
595,mystical-fire,65,10,100,0,100
596,spiky-shield,,10,,4,
597,aromatic-mist,,20,,0,
598,eerie-impulse,,15,100,0,
599,venom-drench,,20,100,0,100
600,powder,,20,100,1,
601,geomancy,,10,,0,
602,magnetic-flux,,20,,0,
603,happy-hour,,30,,0,
604,electric-terrain,,10,,0,
605,dazzling-gleam,80,10,100,0,
606,celebrate,,40,,0,
607,hold-hands,,40,,0,
608,baby-doll-eyes,,30,100,1,
609,nuzzle,20,20,100,0,100
610,hold-back,40,40,100,0,
611,infestation,20,20,100,0,100
612,power-up-punch,40,20,100,0,100
613,oblivion-wing,80,10,100,0,
614,thousand-arrows,90,10,100,0,100
615,thousand-waves,90,10,100,0,
616,lands-wrath,90,10,100,0,
617,light-of-ruin,140,5,90,0,
618,origin-pulse,110,10,85,0,
619,precipice-blades,120,10,85,0,
620,dragon-ascent,120,5,100,0,
621,hyperspace-fury,100,5,,0,
10001,shadow-rush,55,,100,0,
10002,shadow-blast,80,,100,0,
10003,shadow-blitz,40,,100,0,
10004,shadow-bolt,75,,100,0,10
10005,shadow-break,75,,100,0,
10006,shadow-chill,75,,100,0,10
10007,shadow-end,120,,60,0,
10008,shadow-fire,75,,100,0,10
10009,shadow-rave,70,,100,0,
10010,shadow-storm,95,,100,0,
10011,shadow-wave,50,,100,0,
10012,shadow-down,,,100,0,
10013,shadow-half,,,100,0,
10014,shadow-hold,,,,0,
10015,shadow-mist,,,100,0,
10016,shadow-panic,,,90,0,
10017,shadow-shed,,,,0,
10018,shadow-sky,,,,0,